,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue id,Venue Latitude,Venue Longitude,Venue Category id,Venue Category_id,price
4,Victoria Village,43.725882299999995,-79.31557159999998,4f3ecce6e4b0587016b6f30d,43.72581876267242,-79.31278541470671,4def73e84765ae376e57713a,Food,2
5,Victoria Village,43.725882299999995,-79.31557159999998,4bbe904a85fbb713420d7167,43.725516631714754,-79.31310251366091,4bf58dd8d48988d1e0931735,Food,1
6,Victoria Village,43.725882299999995,-79.31557159999998,4d689350b6f46dcb77ee15b2,43.72705130603407,-79.31741760908679,4bf58dd8d48988d10c941735,Food,3
8,"Regent Park, Harbourfront",43.6542599,-79.3606359,54ea41ad498e9a11e9e13308,43.653446723052674,-79.3620167174383,4bf58dd8d48988d16a941735,Food,1
9,"Regent Park, Harbourfront",43.6542599,-79.3606359,53b8466a498e83df908c3f21,43.65355870959944,-79.36180945913513,4bf58dd8d48988d1e0931735,Food,1
12,"Regent Park, Harbourfront",43.6542599,-79.3606359,5612b1cc498e3dd742af0dc8,43.65636850543279,-79.35697968750694,4bf58dd8d48988d1c4941735,Food,2
15,"Regent Park, Harbourfront",43.6542599,-79.3606359,4ae5b91ff964a520a6a121e3,43.653946942635294,-79.36114884214422,4bf58dd8d48988d143941735,Food,1
19,"Regent Park, Harbourfront",43.6542599,-79.3606359,4af59046f964a520e0f921e3,43.65567455427388,-79.3645032892494,4bf58dd8d48988d143941735,Food,1
20,"Regent Park, Harbourfront",43.6542599,-79.3606359,4b156a02f964a5207fac23e3,43.650574039683974,-79.35953942981405,4bf58dd8d48988d16a941735,Food,1
21,"Regent Park, Harbourfront",43.6542599,-79.3606359,57cd9d20498e6ab8342980e2,43.64996280366945,-79.36144178325522,4bf58dd8d48988d1e0931735,Food,1
22,"Regent Park, Harbourfront",43.6542599,-79.3606359,5653a96f498e99c91027730b,43.650066694561666,-79.36072263183006,4bf58dd8d48988d1d0941735,Food,1
23,"Regent Park, Harbourfront",43.6542599,-79.3606359,51853a73498e4d97a8b20831,43.65189965670432,-79.36560912104514,4bf58dd8d48988d1e0931735,Food,2
